상품명,상품코드,합계,10-01  수,10-02  목,10-03  금,10-04  토,10-05  일,10-06  월,10-07  화,10-08  수,10-09  목,10-10  금,10-11  토,10-12  일,10-13  월,10-14  화,10-15  수,10-16  목,10-17  금,10-18  토,10-19  일,10-20  월,10-21  화,10-22  수,10-23  목,10-24  금,10-25  토,10-26  일,10-27  월,10-28  화,10-29  수,10-30  목,10-31  금,11-01  토,11-02  일,11-03  월,11-04  화,11-05  수,11-06  목,11-07  금,11-08  토,11-09  일,11-10  월,11-11  화,11-12  수,11-13  목,11-14  금,11-15  토,11-16  일,11-17  월,11-18  화,11-19  수,11-20  목,11-21  금,11-22  토,11-23  일,11-24  월,11-25  화,11-26  수,11-27  목,11-28  금,11-29  토,11-30  일,12-01  월,12-02  화,12-03  수,12-04  목,12-05  금,12-06  토,12-07  일,12-08  월,12-09  화,12-10  수,12-11  목,12-12  금,12-13  토,12-14  일,12-15  월,12-16  화,12-17  수,12-18  목,12-19  금,12-20  토,12-21  일,12-22  월,12-23  화,12-24  수,12-25  목,12-26  금,12-27  토,12-28  일,12-29  월,12-30  화,12-31  수,01-01  목,01-02  금,01-03  토,01-04  일,01-05  월,01-06  화,01-07  수,01-08  목,01-09  금,01-10  토,01-11  일,01-12  월,01-13  화,01-14  수,01-15  목,01-16  금,01-17  토,01-18  일,01-19  월,01-20  화,01-21  수,01-22  목,01-23  금,01-24  토,01-25  일,01-26  월,01-27  화,01-28  수,01-29  목,01-30  금,09-01  월,09-02  화,09-03  수,09-04  목,09-05  금,09-06  토,09-07  일,09-08  월,09-09  화,09-10  수,09-11  목,09-12  금,09-13  토,09-14  일,09-15  월,09-16  화,09-17  수,09-18  목,09-19  금,09-20  토,09-21  일,09-22  월,09-23  화,09-24  수,09-25  목,09-26  금,09-27  토,09-28  일,09-29  월,09-30  화
제주 명품 추석선물 황금향 선물세트 2kg,SMF70435496,1 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영양가득 탱탱한 식감 국내산 완숙 찰토마토 2kg 5kg,SMF58235699,1 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제철오빠] 산지직송 제주 저농약 황금향 꼬마 5kg 10kg,SMF50606385,1 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산지직송 제주 저농약 황금향 꼬마 5kg 10kg,SMF31857986,1 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자연그대로의 감귤,SMF26104134,1 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청정지역 제주 흑돼지 삼겹살 목살 - 1kg,SMF22973368,1 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1+1이벤트]초고당도 타이벡 감귤,SMF14158451,5769 440 (7.63%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598  70  (11.71%),588  72  (12.24%),414  64  (15.46%),356  25  (7.02%),277  13  (4.69%),270  14  (5.19%),176  6  (3.41%),148  9  (6.08%),132  3  (2.27%),126  9  (7.14%),88  2  (2.27%),75  6  (8%),75  2  (2.67%),73  5  (6.85%),106  4  (3.77%),125  10  (8%),267  3  (1.12%),165  8  (4.85%),147  5  (3.4%),119  5  (4.2%),72  3  (4.17%),79  8  (10.13%),74  5  (6.76%),55  2  (3.64%),94  4  (4.26%),82  7  (8.54%),74  4  (5.41%),87  5  (5.75%),371  28  (7.55%),265  28  (10.57%),191  11  (5.76%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 겨울의 꽃 조생 감귤,SMF78619818,4850 368 (7.59%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),50  0  (0%),535  15  (2.8%),405  14  (3.46%),215  19  (8.84%),222  17  (7.66%),258  13  (5.04%),191  20  (10.47%),216  24  (11.11%),167  15  (8.98%),140  12  (8.57%),140  17  (12.14%),158  13  (8.23%),211  20  (9.48%),292  31  (10.62%),206  23  (11.17%),178  18  (10.11%),130  11  (8.46%),98  7  (7.14%),102  7  (6.86%),89  10  (11.24%),101  13  (12.87%),124  10  (8.06%),104  6  (5.77%),68  2  (2.94%),91  7  (7.69%),162  9  (5.56%),103  8  (7.77%),94  7  (7.45%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[킹댕즈 보장!]초고당도 타이벡 감귤 2025년 첫수확,SMF28555734,4151 691 (16.65%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),12  0  (0%),309  43  (13.92%),134  15  (11.19%),1235  204  (16.52%),272  45  (16.54%),174  26  (14.94%),252  33  (13.1%),257  60  (23.35%),397  66  (16.62%),232  37  (15.95%),241  43  (17.84%),267  55  (20.6%),224  35  (15.63%),145  29  (20%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
논산 설향딸기 달콤함 가득 겨울과일,SMF37504939,2367 52 (2.2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72  1  (1.39%),80  6  (7.5%),49  2  (4.08%),95  4  (4.21%),450  4  (0.89%),258  12  (4.65%),153  3  (1.96%),128  5  (3.91%),117  2  (1.71%),91  3  (3.3%),73  2  (2.74%),66  1  (1.52%),67  0  (0%),43  0  (0%),68  2  (2.94%),54  1  (1.85%),59  0  (0%),68  0  (0%),110  1  (0.91%),46  2  (4.35%),47  1  (2.13%),40  0  (0%),29  0  (0%),33  0  (0%),24  0  (0%),23  0  (0%),8  0  (0%),2  0  (0%),5  0  (0%),1  0  (0%),8  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주산 구좌 흙당근 비세척,SMF13606317,2280 48 (2.11%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),6  0  (0%),394  1  (0.25%),180  2  (1.11%),81  4  (4.94%),89  2  (2.25%),92  2  (2.17%),87  1  (1.15%),85  3  (3.53%),56  1  (1.79%),61  1  (1.64%),39  1  (2.56%),72  3  (4.17%),79  3  (3.8%),76  4  (5.26%),92  2  (2.17%),123  5  (4.07%),44  1  (2.27%),55  2  (3.64%),64  1  (1.56%),46  3  (6.52%),81  1  (1.23%),51  1  (1.96%),62  1  (1.61%),42  1  (2.38%),64  1  (1.56%),65  1  (1.54%),39  0  (0%),55  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
♥1년 중 20일만 맛 볼 수 있는 고당도 노지 황금향♥,SMF13166336,1854 100 (5.39%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171  30  (17.54%),219  14  (6.39%),140  7  (5%),148  5  (3.38%),104  2  (1.92%),112  3  (2.68%),62  5  (8.06%),101  5  (4.95%),86  4  (4.65%),48  4  (8.33%),99  5  (5.05%),43  5  (11.63%),32  1  (3.13%),31  2  (6.45%),54  2  (3.7%),57  3  (5.26%),60  2  (3.33%),33  0  (0%),52  1  (1.92%),27  0  (0%),21  0  (0%),26  0  (0%),31  0  (0%),24  0  (0%),22  0  (0%),14  0  (0%),8  0  (0%),14  0  (0%),7  0  (0%),4  0  (0%),4  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
실속만점 가정용 하우스 한라봉&레드향,SMF34633170,1756 93 (5.3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),13  0  (0%),26  0  (0%),107  1  (0.93%),157  4  (2.55%),200  2  (1%),110  3  (2.73%),94  7  (7.45%),140  11  (7.86%),110  9  (8.18%),61  2  (3.28%),69  7  (10.14%),153  13  (8.5%),75  8  (10.67%),104  5  (4.81%),164  10  (6.1%),87  7  (8.05%),86  4  (4.65%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엄선된 프리미엄 과일 선물세트,SMF26601701,943 4 (0.42%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),12  0  (0%),66  0  (0%),86  0  (0%),135  0  (0%),61  0  (0%),57  0  (0%),75  0  (0%),87  1  (1.15%),41  1  (2.44%),31  0  (0%),78  0  (0%),46  0  (0%),45  0  (0%),53  2  (3.77%),42  0  (0%),27  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"해남 꿀고구마, 베니하루카 품종 포슬포슬",SMF79565974,545 22 (4.04%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),11  0  (0%),9  0  (0%),83  1  (1.2%),75  2  (2.67%),56  2  (3.57%),101  5  (4.95%),89  7  (7.87%),121  5  (4.13%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025 첫수확 노지감귤 가정용 3kg, 5kg",SMF87846210,193 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4  0  (0%),4  0  (0%),8  0  (0%),6  0  (0%),8  0  (0%),3  0  (0%),17  0  (0%),2  0  (0%),0  0  (0%),7  0  (0%),13  0  (0%),6  0  (0%),3  0  (0%),14  0  (0%),5  0  (0%),3  0  (0%),0  0  (0%),16  0  (0%),11  0  (0%),2  0  (0%),3  0  (0%),6  0  (0%),5  0  (0%),5  0  (0%),16  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),18  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 황금향 선물세트 가정용,SMF29718566,176 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8  0  (0%),9  0  (0%),6  0  (0%),6  0  (0%),6  0  (0%),3  0  (0%),25  0  (0%),3  0  (0%),1  0  (0%),1  0  (0%),10  0  (0%),3  0  (0%),2  0  (0%),10  0  (0%),3  0  (0%),4  0  (0%),4  0  (0%),13  0  (0%),5  0  (0%),1  0  (0%),2  0  (0%),6  0  (0%),3  0  (0%),1  0  (0%),17  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),18  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초고당도 타이벡감귤 2025년 첫 수확,SMF24484057,151 20 (13.25%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  1  (0%),0  0  (0%),0  0  (0%),6  1  (16.67%),5  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),3  1  (33.33%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  1  (50%),0  0  (0%),53  3  (5.66%),31  4  (12.9%),9  0  (0%),7  0  (0%),5  0  (0%),2  1  (50%),2  1  (50%),2  1  (50%),9  4  (44.44%),1  0  (0%),0  0  (0%),1  0  (0%),3  1  (33.33%),3  0  (0%),1  0  (0%),4  1  (25%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 꿀당도 보장 감귤 [유라실생],SMF28240458,126 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5  0  (0%),8  0  (0%),7  0  (0%),5  0  (0%),8  0  (0%),6  0  (0%),8  0  (0%),4  0  (0%),3  0  (0%),6  0  (0%),4  0  (0%),1  0  (0%),5  0  (0%),2  0  (0%),4  0  (0%),1  0  (0%),3  0  (0%),3  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),5  0  (0%),9  0  (0%),5  0  (0%),1  0  (0%),3  0  (0%),4  0  (0%),6  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초고당도 타이벡감귤 2025년 첫 수확,SMF87201852,121 9 (7.44%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20  2  (10%),15  1  (6.67%),9  3  (33.33%),7  0  (0%),2  0  (0%),2  0  (0%),7  1  (14.29%),3  0  (0%),4  1  (25%),9  0  (0%),5  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),4  0  (0%),3  0  (0%),3  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  1  (50%),2  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),4  0  (0%),6  0  (0%),6  0  (0%),1  0  (0%),4  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"경남 제철 부유단감 3kg, 5kg",SMF45712223,118 3 (2.54%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20  1  (5%),22  0  (0%),40  2  (5%),23  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),4  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"해남 꿀밤고구마, 베니하루카 품종 포슬포슬",SMF88753441,84 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10  0  (0%),3  0  (0%),0  0  (0%),2  0  (0%),4  0  (0%),9  0  (0%),6  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),3  0  (0%),0  0  (0%),3  0  (0%),2  0  (0%),5  0  (0%),3  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),3  0  (0%),2  0  (0%),5  0  (0%),0  0  (0%),8  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),4  0  (0%),4  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 꿀당도 보장 고당도 감귤 2kg + 황금향 2kg,SMF97813435,56 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),3  0  (0%),2  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),4  0  (0%),4  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),3  0  (0%),5  0  (0%),3  0  (0%),3  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 한라봉 가정용 선물용 3kg 5kg,SMF55565905,49 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),8  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),11  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),7  0  (0%),0  0  (0%),0  0  (0%),7  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),11  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 고당도 신품종 옐로향 유라조생 하우스감귤,SMF12484491,47 2 (4.26%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10  0  (0%),7  0  (0%),2  0  (0%),3  0  (0%),2  0  (0%),0  0  (0%),4  0  (0%),5  1  (20%),1  0  (0%),2  0  (0%),3  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),3  1  (33.33%),0  0  (0%),1  0  (0%),3  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 레드향 가정용 선물용 3kg 5kg,SMF96597185,46 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),7  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),11  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),1  0  (0%),1  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),11  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 천혜향 가정용 선물용 3kg 5kg,SMF25339174,45 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),7  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),11  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),4  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),11  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 카라향 가정용 3kg 5kg(소중대혼합),SMF60935750,27 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),5  0  (0%),0  0  (0%),2  0  (0%),2  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"★특가상품★ 제주도 산지직송 노지 황금향 4KG, 10KG",SMF44782434,25 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),5  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 노지 한라봉+레드향 가정용 3kg 5kg 10kg (소중대혼합),SMF71771951,25 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),6  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),4  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"자연그대로의 감귤 3kg, 5kg, 10kg",SMF10721403,22 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),2  0  (0%),0  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),3  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),3  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
